frame_path,timestamp_ms,frame_num
Tennis/frames/20260103_back/frame_0093.jpg,18400,0093
Tennis/frames/20260103_back/frame_0094.jpg,18600,0094
Tennis/frames/20260103_back/frame_0095.jpg,18800,0095
Tennis/frames/20260103_back/frame_0096.jpg,19000,0096
Tennis/frames/20260103_back/frame_0097.jpg,19200,0097
Tennis/frames/20260103_back/frame_0098.jpg,19400,0098
Tennis/frames/20260103_back/frame_0099.jpg,19600,0099
Tennis/frames/20260103_back/frame_0100.jpg,19800,0100
Tennis/frames/20260103_back/frame_0101.jpg,20000,0101
Tennis/frames/20260103_back/frame_0102.jpg,20200,0102
Tennis/frames/20260103_back/frame_0103.jpg,20400,0103
Tennis/frames/20260103_back/frame_0104.jpg,20600,0104
Tennis/frames/20260103_back/frame_0105.jpg,20800,0105
Tennis/frames/20260103_back/frame_0106.jpg,21000,0106
Tennis/frames/20260103_back/frame_0107.jpg,21200,0107
Tennis/frames/20260103_back/frame_0108.jpg,21400,0108
Tennis/frames/20260103_back/frame_0109.jpg,21600,0109
Tennis/frames/20260103_back/frame_0110.jpg,21800,0110
Tennis/frames/20260103_back/frame_0111.jpg,22000,0111
Tennis/frames/20260103_back/frame_0112.jpg,22200,0112
Tennis/frames/20260103_back/frame_0113.jpg,22400,0113
Tennis/frames/20260103_back/frame_0114.jpg,22600,0114
Tennis/frames/20260103_back/frame_0115.jpg,22800,0115
Tennis/frames/20260103_back/frame_0116.jpg,23000,0116
Tennis/frames/20260103_back/frame_0117.jpg,23200,0117
Tennis/frames/20260103_back/frame_0118.jpg,23400,0118
Tennis/frames/20260103_back/frame_0119.jpg,23600,0119
Tennis/frames/20260103_back/frame_0120.jpg,23800,0120
Tennis/frames/20260103_back/frame_0121.jpg,24000,0121
Tennis/frames/20260103_back/frame_0122.jpg,24200,0122
Tennis/frames/20260103_back/frame_0123.jpg,24400,0123
Tennis/frames/20260103_back/frame_0124.jpg,24600,0124
Tennis/frames/20260103_back/frame_0125.jpg,24800,0125
Tennis/frames/20260103_back/frame_0126.jpg,25000,0126
Tennis/frames/20260103_back/frame_0127.jpg,25200,0127
Tennis/frames/20260103_back/frame_0128.jpg,25400,0128
Tennis/frames/20260103_back/frame_0129.jpg,25600,0129
Tennis/frames/20260103_back/frame_0130.jpg,25800,0130
Tennis/frames/20260103_back/frame_0131.jpg,26000,0131
Tennis/frames/20260103_back/frame_0132.jpg,26200,0132
Tennis/frames/20260103_back/frame_0133.jpg,26400,0133
Tennis/frames/20260103_back/frame_0134.jpg,26600,0134
Tennis/frames/20260103_back/frame_0135.jpg,26800,0135
Tennis/frames/20260103_back/frame_0136.jpg,27000,0136
Tennis/frames/20260103_back/frame_0137.jpg,27200,0137
Tennis/frames/20260103_back/frame_0138.jpg,27400,0138
Tennis/frames/20260103_back/frame_0139.jpg,27600,0139
Tennis/frames/20260103_back/frame_0140.jpg,27800,0140
Tennis/frames/20260103_back/frame_0141.jpg,28000,0141
Tennis/frames/20260103_back/frame_0142.jpg,28200,0142
Tennis/frames/20260103_back/frame_0143.jpg,28400,0143
Tennis/frames/20260103_back/frame_0144.jpg,28600,0144
Tennis/frames/20260103_back/frame_0145.jpg,28800,0145
Tennis/frames/20260103_back/frame_0146.jpg,29000,0146
Tennis/frames/20260103_back/frame_0147.jpg,29200,0147
Tennis/frames/20260103_back/frame_0148.jpg,29400,0148
Tennis/frames/20260103_back/frame_0149.jpg,29600,0149
